"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"141",9,"Hunter Henry",NE,"TE16","14","3 out of 5 stars","+25","-0.6","43% (7/16)"
"142",9,"Ray Davis",BUF,"RB45","7","4 out of 5 stars","+27","+1.5","43% (7/16)"
"143",9,"Tre' Harris",LAC,"WR58","12","3 out of 5 stars","-2","-","-"
"144",10,"Jerome Ford",CLE,"RB46","9","4 out of 5 stars","+14","-1.0","42% (6/14)"
"145",10,"Jonnu Smith",PIT,"TE17","5","3 out of 5 stars","-35","+3.5","62% (10/16)"
"146",10,"Marvin Mims Jr.",DEN,"WR59","12","3 out of 5 stars","+5","+2.0","50% (8/16)"
"147",10,"Marquise Brown",KC,"WR60","10","3 out of 5 stars","+13","+1.7","50% (1/2)"
"148",10,"Wan'Dale Robinson",NYG,"WR61","14","2 out of 5 stars","+52","-0.3","43% (7/16)"
"149",10,"Romeo Doubs",GB,"WR62","5","2 out of 5 stars","+52","+0.4","38% (5/13)"
"150",10,"Rico Dowdle",CAR,"RB47","14","3 out of 5 stars","+56","0.0","37% (6/16)"
"151",10,"Adam Thielen",CAR,"WR63","14","4 out of 5 stars","+27","+3.3","55% (5/9)"
"152",10,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","+3","-0.7","28% (4/14)"
"153",10,"Tyler Allgeier",ATL,"RB49","5","4 out of 5 stars","+4","-0.4","31% (5/16)"
"154",10,"Jayden Higgins",HOU,"WR64","6","4 out of 5 stars","-12","-","-"
"155",10,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+44","-0.8","43% (7/16)"
"156",10,"Kyle Pitts Sr.",ATL,"TE18","5","3 out of 5 stars","-18","-1.1","37% (6/16)"
"157",10,"Braelon Allen",NYJ,"RB50","9","5 out of 5 stars","+23","-1.0","18% (3/16)"
"158",10,"Isaac Guerendo",SF,"RB51","14","3 out of 5 stars","-12","+1.7","33% (5/15)"
"159",10,"Quentin Johnston",LAC,"WR65","12","3 out of 5 stars","+32","+0.5","50% (7/14)"
"160",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-52","+1.6","50% (8/16)"
"161",10,"DeMario Douglas",NE,"WR66","14","3 out of 5 stars","+57","-0.6","37% (6/16)"
"162",10,"Zach Ertz",WAS,"TE19","12","3 out of 5 stars","-12","+1.4","56% (9/16)"
"163",10,"Kyle Williams",NE,"WR67","14","3 out of 5 stars","+18","-","-"
"164",10,"Jaydon Blue",DAL,"RB52","10","2 out of 5 stars","-27","-","-"
"165",10,"Jalen McMillan",TB,"WR68","9","3 out of 5 stars","+25","+1.6","46% (6/13)"
"166",10,"Jaylen Wright",MIA,"RB53","12","4 out of 5 stars","+17","-0.9","26% (4/15)"
"167",10,"Xavier Legette",CAR,"WR69","14","4 out of 5 stars","+9","-1.0","40% (6/15)"
"168",10,"Bhayshul Tuten",JAC,"RB54","8","2 out of 5 stars","-14","-","-"
"169",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-53","-0.1","56% (9/16)"
"170",10,"Sam Darnold",SEA,"QB26","8","4 out of 5 stars","+49","+2.4","75% (12/16)"
"171",10,"Dylan Sampson",CLE,"RB55","9","4 out of 5 stars","+3","-","-"
"172",10,"Roschon Johnson",CHI,"RB56","5","3 out of 5 stars","+31","+0.3","42% (6/14)"
"173",10,"Nick Chubb",HOU,"RB57","6","2 out of 5 stars","-25","-2.0","37% (3/8)"
"174",10,"Cameron Ward",TEN,"QB27","10","2 out of 5 stars","-2","-","-"
"175",10,"Baltimore Ravens",BAL,"DST3","7","3 out of 5 stars","-43","-1.2","25% (4/16)"
